dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
UCI-iris,complete,euclidean,0.0,label,class_1,clusters,0.9323835368611488,5
UCI-iris,complete,euclidean,0.0,label,class_1,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.0,label,class_1,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.0,label,class_2,base,1.0,5
UCI-iris,complete,euclidean,0.0,label,class_2,clusters,0.9850746268656716,5
UCI-iris,complete,euclidean,0.0,label,class_2,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.0,label,class_2,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,High,base,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,High,clusters,0.9696969696969697,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,High,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,High,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,Low,clusters,0.7164179104477612,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,Low,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,Low,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,base,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedLow,base,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedLow,clusters,0.8173572459286745,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedLow,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.0,sepal length (cm)_quantiles,MedLow,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.02,label,class_0,base,1.0,5
UCI-iris,complete,euclidean,0.02,label,class_0,clusters,0.9705882352941176,5
UCI-iris,complete,euclidean,0.02,label,class_0,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.02,label,class_0,gen_base_2,1.0,5
UCI-iris,complete,euclidean,0.02,label,class_1,base,0.975,5
UCI-iris,complete,euclidean,0.02,label,class_1,clusters,0.9850746268656716,5
UCI-iris,complete,euclidean,0.02,label,class_1,gen_base_1,0.9347826086956522,5
UCI-iris,complete,euclidean,0.02,label,class_1,gen_base_2,0.8879166666666667,5
UCI-iris,complete,euclidean,0.02,label,class_2,base,0.9743589743589743,5
UCI-iris,complete,euclidean,0.02,label,class_2,clusters,0.9850746268656716,5
UCI-iris,complete,euclidean,0.02,label,class_2,gen_base_1,0.8946317657497782,5
UCI-iris,complete,euclidean,0.02,label,class_2,gen_base_2,0.9181818181818182,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,High,base,0.8235294117647058,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,High,clusters,0.803030303030303,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,High,gen_base_1,0.8334982681840672,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,High,gen_base_2,0.8018867924528302,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,Low,clusters,0.6917684305744007,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,Low,gen_base_1,1.0,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,Low,gen_base_2,0.9142857142857143,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,base,0.7938508064516129,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_1,0.891287284144427,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_2,0.8348457350272231,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedLow,base,0.8142857142857143,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedLow,clusters,0.8972602739726028,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedLow,gen_base_1,0.8547108208955223,5
UCI-iris,complete,euclidean,0.02,sepal length (cm)_quantiles,MedLow,gen_base_2,0.8552521008403362,5
UCI-iris,single,cityblock,0.0,label,class_0,base,1.0,5
UCI-iris,single,cityblock,0.0,label,class_0,clusters,0.9705882352941176,5
UCI-iris,single,cityblock,0.0,label,class_0,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,label,class_0,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.0,label,class_1,base,1.0,5
UCI-iris,single,cityblock,0.0,label,class_1,clusters,0.9323835368611488,5
UCI-iris,single,cityblock,0.0,label,class_1,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,label,class_1,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.0,label,class_2,base,1.0,5
UCI-iris,single,cityblock,0.0,label,class_2,clusters,0.9850746268656716,5
UCI-iris,single,cityblock,0.0,label,class_2,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,label,class_2,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,High,base,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,High,clusters,0.9696969696969697,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,High,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,High,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,Low,clusters,0.7164179104477612,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,Low,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,Low,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,base,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedLow,base,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedLow,clusters,0.8173572459286745,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedLow,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.0,sepal length (cm)_quantiles,MedLow,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.02,label,class_0,base,1.0,5
UCI-iris,single,cityblock,0.02,label,class_0,clusters,0.9705882352941176,5
UCI-iris,single,cityblock,0.02,label,class_0,gen_base_1,1.0,5
UCI-iris,single,cityblock,0.02,label,class_0,gen_base_2,1.0,5
UCI-iris,single,cityblock,0.02,label,class_1,base,0.9230263157894737,5
UCI-iris,single,cityblock,0.02,label,class_1,clusters,0.9850746268656716,5
UCI-iris,single,cityblock,0.02,label,class_1,gen_base_1,0.8639622641509435,5
UCI-iris,single,cityblock,0.02,label,class_1,gen_base_2,0.9555555555555556,5
UCI-iris,single,cityblock,0.02,label,class_2,base,1.0,5
UCI-iris,single,cityblock,0.02,label,class_2,clusters,0.9850746268656716,5
UCI-iris,single,cityblock,0.02,label,class_2,gen_base_1,0.7538798920377867,5
UCI-iris,single,cityblock,0.02,label,class_2,gen_base_2,0.8888339920948616,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,High,base,0.7845643939393939,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,High,clusters,0.803030303030303,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,High,gen_base_1,0.8423645320197044,5
